Url;Size;YardSize;Price;Town;District;Floor;TotalFloors;Type;BuildingType;Year
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165415325400412&slink=86z6b9&f1=1;18;0;34000;град София;Модерно предградие;1;6;1-СТАЕН;Тухла;2018
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165676669882199&slink=86z6bc&f1=1;20;0;32000;град София;Банишора;1;6;1-СТАЕН;Тухла;1996
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165632164069083&slink=86z6bk&f1=1;23;0;43000;град София;Бъкстон;1;4;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165696258413392&slink=86z6bk&f1=1;23;0;38000;град София;Люлин 8;1;6;1-СТАЕН;Тухла;2000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165298764643409&slink=86z6bm&f1=1;25;0;67500;град София;Дървеница;5;7;1-СТАЕН;Панел;1982
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165618807129465&slink=86z6bm&f1=1;25;0;45000;град София;Люлин 1;5;8;1-СТАЕН;ЕПК;1980
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165694352802737&slink=86z6bm&f1=1;25;0;50000;град София;Център;5;5;1-СТАЕН;Тухла;1936
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164864849041860&slink=86z6bs&f1=1;26;0;40000;град София;Люлин 5;8;8;1-СТАЕН;Панел;1980
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163351707066328&slink=86z6bs&f1=1;26;0;75000;град София;Център;5;5;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165666490121032&slink=86z6c5&f1=1;27;0;61000;град София;Студентски град;1;1;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165285641461448&slink=86z6c5&f1=1;27;0;69500;град София;Разсадника;1;7;1-СТАЕН;Тухла;2019
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165412118656963&slink=86z6c5&f1=1;27;0;42000;град София;Сухата река;1;7;1-СТАЕН;Панел;1982
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163958293954798&slink=86z6c6&f1=1;28;0;43813;град София;Младост 4;2;13;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165080619309972&slink=86z6c6&f1=1;28;0;62000;град София;Център;1;6;1-СТАЕН;Тухла;1970
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165469670760762&slink=86z6ce&f1=1;29;0;75000;град София;Център;1;7;1-СТАЕН;Тухла;1960
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163903423296373&slink=86z6ci&f1=1;30;0;112000;град София;Гео Милев;8;8;1-СТАЕН;Тухла;1990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163490001037251&slink=86z6ci&f1=1;30;0;115000;град София;Гео Милев;8;8;1-СТАЕН;Тухла;1986
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164820460918446&slink=86z6ci&f1=1;30;0;59000;град София;Център;1;6;1-СТАЕН;Тухла;2005
