Url;Size;YardSize;Price;District;Floor;TotalFloors;Type;BuildingType;Year
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163428917182491&slink=7yckvr&f1=1;22;0;45000;град София, Бояна;0;0;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165013036059097&slink=7yckvt&f1=1;23;0;80000;град София, Малинова долина;5;7;1-СТАЕН;Тухла;2018
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163655416697964&slink=7yckvv&f1=1;24;0;34500;град София, Лозенец;1;6;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162461312775716&slink=7yckvv&f1=1;24;0;39000;град София, Полигона;1;7;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165035361304072&slink=7yckw0&f1=1;25;0;38000;град София, Люлин 6;1;8;1-СТАЕН;Тухла;2005
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164993413369327&slink=7yckw0&f1=1;25;0;49900;град София, Студентски град;3;8;1-СТАЕН;Тухла;2017
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164905524932063&slink=7yckw3&f1=1;26;0;53000;град София, Хаджи Димитър;2;8;1-СТАЕН;Панел;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164632076667141&slink=7yckw3&f1=1;26;0;57000;град София, Бъкстон;4;8;1-СТАЕН;Панел;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164864849041860&slink=7yckw3&f1=1;26;0;40000;град София, Люлин 5;8;8;1-СТАЕН;Панел;1980
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164738354812097&slink=7yckw3&f1=1;26;0;65000;град София, Център;5;5;1-СТАЕН;Тухла;1942
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163351707066328&slink=7yckw3&f1=1;26;0;69000;град София, Център;5;5;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h163655776094562&slink=7yckw3&f1=1;26;0;34500;град София, Лозенец;1;6;АТЕЛИЕ, ТАВАН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h162551994222178&slink=7yckw3&f1=1;26;0;40000;град София, Център;6;6;АТЕЛИЕ, ТАВАН;Тухла;1934
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h164738378614021&slink=7yckw3&f1=1;26;0;65000;град София, Център;5;5;АТЕЛИЕ, ТАВАН;Тухла;1942
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164863968861486&slink=7yckwa&f1=1;27;0;110000;град София, Лозенец;1;1;1-СТАЕН;Тухла;2007
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163958293954798&slink=7yckwd&f1=1;28;0;41042;град София, Младост 4;2;13;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164994244836752&slink=7yckwd&f1=1;28;0;43500;град София, Люлин 8;1;7;1-СТАЕН;Тухла;2012
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165090222024331&slink=7yckwd&f1=1;28;0;45400;град София, Манастирски ливади;1;6;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165080619309972&slink=7yckwd&f1=1;28;0;65000;град София, Център;1;6;1-СТАЕН;Тухла;1970
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165044333218661&slink=7yckwg&f1=1;30;0;32868;град София, Овча купел 2;3;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164820460918446&slink=7yckwg&f1=1;30;0;65000;град София, Център;1;6;1-СТАЕН;Тухла;2005
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164984122710099&slink=7yckwg&f1=1;30;0;56000;град София, Банишора;10;16;1-СТАЕН;ЕПК;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164692409041640&slink=7yckwg&f1=1;30;0;62000;град София, Манастирски ливади;5;5;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163308614418058&slink=7yckwg&f1=1;30;0;40500;град София, Студентски град;0;0;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164857774621821&slink=7yckwg&f1=1;30;0;46000;град София, Бъкстон;1;7;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163903423296373&slink=7yckwg&f1=1;30;0;120000;град София, Гео Милев;8;8;1-СТАЕН;Тухла;1990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160344996862590&slink=7yckwg&f1=1;30;0;30000;град София, Люлин 3;1;8;1-СТАЕН;Панел;2017
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164301885235073&slink=7yckwg&f1=1;30;0;63000;град София, Слатина;1;8;1-СТАЕН;Панел;1985
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164907018898163&slink=7yckwg&f1=1;30;0;38990;град София, Студентски град;5;17;1-СТАЕН;ЕПК;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164386954614070&slink=7yckwg&f1=1;30;0;39990;град София, Сухата река;4;7;1-СТАЕН;Панел;1980
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164492421957529&slink=7yckwg&f1=1;30;0;65000;град София, Център;1;6;1-СТАЕН;Тухла;1940
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164847021638285&slink=7yckwg&f1=1;30;0;75000;град София, Център;6;6;1-СТАЕН;Тухла;1950
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163785179626503&slink=7yckwg&f1=1;30;0;88000;град София, Център;1;4;1-СТАЕН;Тухла;1941
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164303645866348&slink=7yckwg&f1=1;30;0;106000;град София, Център;1;8;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164482597240610&slink=7yckwg&f1=1;30;0;135000;град София, Докторски паметник;4;5;2-СТАЕН;Тухла;1932
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164349321317152&slink=7yckwg&f1=1;30;0;60000;град София, Център;2;3;2-СТАЕН;Гредоред;1950
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164573644866670&slink=7yckwg&f1=1;30;0;106000;град София, Център;0;0;2-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164811131039267&slink=7yckwq&f1=1;31;0;39370;град София, Овча купел 1;2;6;1-СТАЕН;Тухла;2023
