Url;Size;YardSize;Price;Town;District;Floor;TotalFloors;Type;BuildingType;Year
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165873457453647&slink=8bajom&f1=1;18;0;24500;град София;Люлин 1;3;8;1-СТАЕН;Панел;1990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h165460844761555&slink=8bajov&f1=1;22;0;55000;град София;Център;1;5;АТЕЛИЕ, ТАВАН;Тухла;1934
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165696258413392&slink=8bajox&f1=1;23;0;36600;град София;Люлин 8;1;6;1-СТАЕН;Тухла;2000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165632164069083&slink=8bajox&f1=1;23;0;39999;град София;Бъкстон;1;4;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165994299326752&slink=8bajp3&f1=1;25;0;51500;град София;Банишора;7;12;1-СТАЕН;ЕПК;2020
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165298764643409&slink=8bajp3&f1=1;25;0;64970;град София;Дървеница;5;7;1-СТАЕН;Панел;1982
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h166021419571269&slink=8bajp3&f1=1;25;0;55000;град София;Карпузица;1;7;АТЕЛИЕ, ТАВАН;Тухла;1990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165618807129465&slink=8bajp3&f1=1;25;0;45000;град София;Люлин 1;5;8;1-СТАЕН;ЕПК;1980
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165830500493534&slink=8bajp3&f1=1;25;0;38000;град София;Люлин 6;1;8;1-СТАЕН;Тухла;2005
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163351707066328&slink=8bajp5&f1=1;26;0;85000;град София;Център;5;5;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165936008395672&slink=8bajp5&f1=1;26;0;129800;град София;Център;6;7;1-СТАЕН;Тухла;1960
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165285641461448&slink=8bajp9&f1=1;27;0;69500;град София;Разсадника;1;7;1-СТАЕН;Тухла;2019
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165840273505798&slink=8bajpe&f1=1;28;0;60900;град София;Люлин 7;11;16;1-СТАЕН;ЕПК;1986
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165701665109347&slink=8bajpe&f1=1;28;0;47500;град София;Манастирски ливади;1;7;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163958293954798&slink=8bajpe&f1=1;28;0;43813;град София;Младост 4;2;13;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165882905621899&slink=8bajpe&f1=1;28;0;47500;град София;Манастирски ливади;1;6;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165961769627851&slink=8bajpk&f1=1;29;0;51000;град София;Студентски град;6;7;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165703823392002&slink=8bajpk&f1=1;29;0;51000;град София;Студентски град;7;7;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163903423296373&slink=8bajpm&f1=1;30;0;105000;град София;Гео Милев;8;8;1-СТАЕН;Тухла;1990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165804330867779&slink=8bajpm&f1=1;30;0;150000;град София;Докторски паметник;5;5;1-СТАЕН;Тухла;1960
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163490001037251&slink=8bajpm&f1=1;30;0;102000;град София;Изток;8;8;1-СТАЕН;Тухла;1986
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165666490121032&slink=8bajpm&f1=1;30;0;60000;град София;Студентски град;1;1;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165882251110824&slink=8bajpm&f1=1;30;0;90000;град София;Банишора;2;6;1-СТАЕН;Тухла;1967
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165773669707773&slink=8bajpm&f1=1;30;0;52000;град София;Бъкстон;1;6;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164857774621821&slink=8bajpm&f1=1;30;0;52000;град София;Бъкстон;1;7;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165710676875879&slink=8bajpm&f1=1;30;0;150000;град София;Докторски паметник;5;5;1-СТАЕН;Тухла;1960
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165570204966114&slink=8bajpm&f1=1;30;0;62000;град София;Дървеница;7;16;1-СТАЕН;ЕПК;1985
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165935179554167&slink=8bajpm&f1=1;30;0;40000;град София;Лозенец;1;8;1-СТАЕН;Тухла;2015
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165450082543104&slink=8bajpm&f1=1;30;0;65000;град София;Лозенец;1;6;1-СТАЕН;Тухла;1990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164692409041640&slink=8bajpm&f1=1;30;0;58000;град София;Манастирски ливади;5;5;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165952791551591&slink=8bajpm&f1=1;30;0;56500;град София;Надежда 2;2;5;1-СТАЕН;Тухла;2021
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165495262205938&slink=8bajpm&f1=1;30;0;52000;град София;Павлово;1;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165649768276574&slink=8bajpm&f1=1;30;0;65000;град София;Сухата река;12;14;1-СТАЕН;ЕПК;1986
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164820460918446&slink=8bajpm&f1=1;30;0;59000;град София;Център;1;6;1-СТАЕН;Тухла;2005
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165571932888838&slink=8bajpm&f1=1;30;0;125000;град София;Център;1;2;1-СТАЕН;Тухла;1950
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164349321317152&slink=8bajpm&f1=1;30;0;60000;град София;Център;2;3;2-СТАЕН;Гредоред;1950
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165106780691585&slink=8bajpy&f1=1;31;0;64999;град София;Студентски град;4;8;1-СТАЕН;Тухла;2018
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165589391037191&slink=8bajpy&f1=1;31;0;44500;град София;Малинова долина;1;6;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162815112042867&slink=8bajpy&f1=1;31;0;34990;град София;Люлин 10;1;8;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164319293643816&slink=8bajpy&f1=1;31;0;37536;град София;Малинова долина;1;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164622878319135&slink=8bajpy&f1=1;31;0;46995;град София;Малинова долина;1;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164570427661255&slink=8bajpy&f1=1;31;0;46995;град София;Малинова долина;1;5;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165401032213833&slink=8bajpy&f1=1;31;0;79500;град София;Медицинска академия;7;7;1-СТАЕН;Тухла;2004
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164787802511663&slink=8bajpy&f1=1;31;0;50810;град София;Надежда 1;2;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164787802011843&slink=8bajpy&f1=1;31;0;50810;град София;Надежда 1;1;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165450673190948&slink=8bajpy&f1=1;31;0;44900;град София;Овча купел;3;5;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164811131039267&slink=8bajpy&f1=1;31;0;40920;град София;Овча купел 1;3;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165389909070680&slink=8bajpy&f1=1;31;0;79500;град София;Център;7;7;1-СТАЕН;Тухла;2004
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165389620553540&slink=8bajpy&f1=1;31;0;85000;град София;Център;7;7;1-СТАЕН;Тухла;2004
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165780296121153&slink=8bajq7&f1=1;32;0;49000;град София;Люлин 3;3;8;1-СТАЕН;Панел;1984
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164820269204969&slink=8bajq7&f1=1;32;0;53000;град София;Люлин 4;12;14;1-СТАЕН;ЕПК;1978
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165588805029714&slink=8bajq7&f1=1;32;0;55000;град София;Банишора;14;18;1-СТАЕН;ЕПК;2020
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166028557082999&slink=8bajq7&f1=1;32;0;59000;град София;Люлин 10;12;14;1-СТАЕН;ЕПК;1986
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165883864937948&slink=8bajq7&f1=1;32;0;39000;град София;Люлин 8;1;6;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164206248042302&slink=8bajq7&f1=1;32;0;39600;град София;Малинова долина;1;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165780137633239&slink=8bajq7&f1=1;32;0;39600;град София;Малинова долина;1;6;1-СТАЕН;Тухла;2024
