Url;Size;YardSize;Price;Town;District;Floor;TotalFloors;Type;BuildingType;Year
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165762660591057&slink=8bayaa&f1=1;12;0;16900;град Варна;Колхозен пазар;6;6;1-СТАЕН;Тухла;1980
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165770070412658&slink=8bayaa&f1=1;12;0;16500;град Варна;Колхозен пазар;6;6;1-СТАЕН;Тухла;1970
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165728086452823&slink=8bayaa&f1=1;12;0;16500;град Варна;Колхозен пазар;6;6;1-СТАЕН;Тухла;1970
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165694554128894&slink=8bayas&f1=1;18;0;21500;град Варна;к.к. Чайка;8;9;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165512957737233&slink=8bayat&f1=1;19;0;19000;град Варна;Владислав Варненчик 1;1;6;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162874935457985&slink=8bayat&f1=1;19;0;24000;град Варна;Левски 1;4;5;1-СТАЕН;Тухла;1900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c164966871970602&slink=8bayb0&f1=1;20;0;85000;град Варна;Възраждане 1;1;7;3-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159099370829887&slink=8bayb0&f1=1;20;0;13990;град Варна;м-т Салтанат;1;7;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162263472140997&slink=8bayb1&f1=1;21;0;20000;град Варна;Владислав Варненчик 1;1;5;1-СТАЕН;Тухла;2021
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165035765077302&slink=8bayb6&f1=1;22;0;34990;град Варна;Колхозен пазар;1;5;1-СТАЕН;Тухла;2015
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165347242957477&slink=8bayb8&f1=1;23;0;25000;град Варна;Колхозен пазар;1;5;1-СТАЕН;Тухла;2009
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165935652516450&slink=8bayb8&f1=1;23;0;35000;град Варна;Младост 2;3;14;1-СТАЕН;Тухла;1980
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165831471106154&slink=8baybb&f1=1;24;0;35000;град Варна;Базар Левски;1;1;1-СТАЕН;Тухла;2016
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165296935375845&slink=8baybb&f1=1;24;0;34990;град Варна;Базар Левски;1;5;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165095769571675&slink=8baybb&f1=1;24;0;35000;град Варна;Базар Левски;1;5;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165072731851711&slink=8baybb&f1=1;24;0;35000;град Варна;Базар Левски;1;5;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165288727633423&slink=8baybb&f1=1;24;0;35900;град Варна;Базар Левски;1;5;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165096612493628&slink=8baybb&f1=1;24;0;36000;град Варна;Базар Левски;1;4;1-СТАЕН;Тухла;2000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165288229333341&slink=8baybb&f1=1;24;0;36000;град Варна;Базар Левски;1;5;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165277553532299&slink=8baybb&f1=1;24;0;36000;град Варна;Базар Левски;1;5;1-СТАЕН;Тухла;2008
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a148683651482575&slink=8baybb&f1=1;24;0;31990;град Варна;Колхозен пазар;1;5;1-СТАЕН;Тухла;2017
